surveyid,country,year,sex,agegr,prev,se,ci_l,ci_u,var,n,deff,deff15to49,ISO
NM2013DHS,Namibia,2013,female,45-49,0.286455323334025,0.0281596396412135,0.234315953891001,0.344969508148356,0.000792965304723004,350,1.3578261306857,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,50-54,0.219670851424266,0.0257107699495356,0.173185277876895,0.274491519010469,0.000661043691397942,353,1.36130239021757,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,55-59,0.155063192302309,0.0266349932213271,0.109379723471822,0.215216126084819,0.000709422863900142,223,1.20747207056929,2.3924202432276,NM
NM2013DHS,Namibia,2013,female,60-64,0.0868092320778441,0.0206892092533215,0.0536863252677513,0.137400808633743,0.000428043379527723,204,1.10151527757828,2.3924202432276,NM
NM2017PHIA,Namibia,2017,male,0-4,0.00097723,0.00059411,0.000296685091973515,0.00321381022669101,3.529666921e-07,1317,0.476153873903857,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,5-9,0.00926653,0.00287438,0.00503806138524408,0.016983393395209,8.2620603844e-06,1170,1.05293183199602,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,10-14,0.0225463,0.00547162,0.0139806347749872,0.0361674842087181,2.99386254244e-05,959,1.30280371262053,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,15-19,0.02735442,0.00421031,0.0202072913826208,0.0369341303705083,1.77267102961e-05,1390,0.92610625839467,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,20-24,0.02314065,0.00481652,0.0153621875713358,0.0347187706787253,2.31988649104e-05,1159,1.18944011249707,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,25-29,0.04237642,0.00870324,0.0282443309321086,0.0631202226603414,7.57463864976e-05,976,1.82176620568626,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,30-34,0.08892207,0.01111217,0.0694156332637864,0.113242953062945,0.0001234803221089,805,1.22695474266295,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,35-39,0.14390288,0.01579668,0.115621631839646,0.177711701906816,0.0002495350990224,743,1.50497031268907,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,40-44,0.21315633,0.01849074,0.179154799714346,0.251632742541923,0.0003419074657476,689,1.4045626525874,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,45-49,0.17557944,0.01780558,0.143357322811188,0.213241202824638,0.0003170386791364,541,1.18491457498074,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,50-54,0.26398349,0.02834955,0.212262329119103,0.323137601683052,0.0008036969852025,388,1.60494347811258,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,55-59,0.12965742,0.01991245,0.0953633451790903,0.173913242710021,0.0003965056650025,334,1.17356799403473,2.45662689054068,NM
NM2017PHIA,Namibia,2017,male,60-64,0.11871102,0.0216125,0.0824443532894992,0.168009956611866,0.00046710015625,243,1.08494296977382,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,0-4,0.0037214,0.00194564,0.00133368849582588,0.0103395894633731,3.7855150096e-06,1319,1.34673644475895,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,5-9,0.01472661,0.00397122,0.00866558578815516,0.0249203654539144,1.57705882884e-05,1120,1.21732454104769,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,10-14,0.01606019,0.00477781,0.00894375401465658,0.0286752494858942,2.28274683961e-05,876,1.26544316692293,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,15-19,0.04737862,0.00583798,0.0371632333358121,0.0602263576716841,3.40820104804e-05,1491,1.12590077471256,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,20-24,0.05993505,0.00664249,0.0481651533716033,0.0743564195575086,4.41226734001e-05,1525,1.19424361988316,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,25-29,0.09162695,0.00864389,0.0760350927421029,0.110035328137688,7.47168343321e-05,1370,1.22984833898529,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,30-34,0.17735362,0.01414966,0.151297222062544,0.206803993662808,0.0002002128781156,1157,1.58771343377694,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,35-39,0.28377245,0.01841542,0.249101296478437,0.321205059784585,0.0003391276937764,1023,1.7069375728386,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,40-44,0.28952605,0.01849001,0.254668934542265,0.327060575699801,0.0003418804698001,864,1.4359926942304,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,45-49,0.29978503,0.02127968,0.259799708067324,0.343072100523398,0.0004528247809024,734,1.58337911408047,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,50-54,0.24938588,0.02180914,0.209119881158543,0.294517852243159,0.0004756385875396,568,1.44323424819722,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,55-59,0.20976516,0.02147336,0.170761618023339,0.254938587409244,0.0004611051896896,535,1.48821014765334,2.45662689054068,NM
NM2017PHIA,Namibia,2017,female,60-64,0.13853753,0.01623316,0.109673314557404,0.173517816543049,0.0002635154835856,404,0.892038710729589,2.45662689054068,NM
RW2005DHS,Rwanda,2005,male,15-19,0.00272946665227131,0.00159131133098682,0.000866363855394921,0.00856479948859669,2.53227175212705e-06,1066,0.991691830326916,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,20-24,0.00475552419884819,0.00222325924504987,0.00189349485511838,0.0118919868018429,4.94288167069971e-06,929,0.970214489492725,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,25-29,0.0195835390468514,0.00529402359009761,0.0114783492971782,0.0332197002269742,2.80266857725099e-05,634,0.925463360769361,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,30-34,0.0379462542033373,0.00973293553614155,0.0228046719703266,0.0624983763117459,9.4730034150687e-05,494,1.28187712063185,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,35-39,0.0252837200678684,0.00717740745501353,0.0144082522814684,0.0440015959417058,5.15151777752838e-05,427,0.892573286313225,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,40-44,0.0796704606289647,0.01354855497296,0.0567446266138644,0.110771004452689,0.000183563341855318,401,1.00389811445933,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,45-49,0.0470986026319863,0.0108946390567651,0.0297276501718554,0.0738474836845676,0.000118693160177191,375,0.991747180936328,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,50-54,0.0174965300065699,0.00734907987494097,0.00760225917637798,0.0397522802996013,5.40089750082624e-05,259,0.813728787688025,1.42531187942851,RW
RW2005DHS,Rwanda,2005,male,55-59,0.00772624696175781,0.0075869956633103,0.00109289112944505,0.0525048431662429,5.75625031950893e-05,143,1.07368186925785,1.42531187942851,RW
RW2005DHS,Rwanda,2005,female,15-19,0.0068641160207178,0.00236234203922901,0.00348500092393797,0.0134753718085251,5.58065991030868e-06,1323,1.0830589900274,1.42531187942851,RW
RW2005DHS,Rwanda,2005,female,20-24,0.025209250332288,0.00437952109946486,0.0178915043935474,0.0354120842302568,1.91802050606579e-05,1135,0.885885875481365,1.42531187942851,RW
RW2005DHS,Rwanda,2005,female,25-29,0.0331964732888559,0.00652950310997398,0.0224974094393248,0.0487300253730711,4.26344108631598e-05,839,1.11453074489786,1.42531187942851,RW
RW2005DHS,Rwanda,2005,female,30-34,0.0589777380694908,0.00826477822561015,0.0446733393952552,0.0774908775014549,6.83065591185197e-05,811,0.998148716881043,1.42531187942851,RW
RW2005DHS,Rwanda,2005,female,35-39,0.0684880756194261,0.0109872664685359,0.0497783107855207,0.0935378822587258,0.000120720024450613,546,1.03316235884518,1.42531187942851,RW
